Date,Year,Month,Day,Julian_date
3/25/2012,2012,3,25,85
3/26/2000,2000,3,26,86
3/28/1945,1945,3,28,87
3/30/2021,2021,3,30,89
3/31/1938,1938,3,31,90
3/30/2016,2016,3,30,90
4/2/1946,1946,4,2,92
4/2/2010,2010,4,2,92
4/6/1918,1918,4,6,96
4/6/1929,1929,4,6,96
4/7/1921,1921,4,7,97
4/8/2017,2017,4,8,98
4/9/1930,1930,4,9,99
4/8/1968,1968,4,8,99
4/9/1999,1999,4,9,99
4/10/1931,1931,4,10,100
4/9/2020,2020,4,9,100
4/11/1953,1953,4,11,101
4/11/1970,1970,4,11,101
4/11/1998,1998,4,11,101
4/11/2006,2006,4,11,101
4/11/2011,2011,4,11,101
4/12/2015,2015,4,12,102
4/13/1911,1911,4,13,103
4/13/1925,1925,4,13,103
4/13/1941,1941,4,13,103
4/13/1973,1973,4,13,103
4/14/1935,1935,4,14,104
4/14/1958,1958,4,14,104
4/14/1961,1961,4,14,104
4/14/1967,1967,4,14,104
4/15/1942,1942,4,15,105
4/15/1954,1954,4,15,105
4/14/1976,1976,4,14,105
4/15/1981,1981,4,15,105
4/15/1987,1987,4,15,105
4/16/2005,2005,4,16,106
4/17/1915,1915,4,17,107
4/17/1919,1919,4,17,107
4/17/1955,1955,4,17,107
4/17/1963,1963,4,17,107
4/16/1988,1988,4,16,107
4/17/1994,1994,4,17,107
4/17/2009,2009,4,17,107
4/18/1957,1957,4,18,108
4/18/1990,1990,4,18,108
4/18/1993,1993,4,18,108
4/18/2002,2002,4,18,108
4/19/1986,1986,4,19,109
4/19/1991,1991,4,19,109
4/19/1948,1948,4,19,110
4/20/1949,1949,4,20,110
4/19/1960,1960,4,19,110
4/20/1966,1966,4,20,110
4/20/1969,1969,4,20,110
4/20/1985,1985,4,20,110
4/19/2004,2004,4,19,110
4/21/1959,1959,4,21,111
4/21/1971,1971,4,21,111
4/21/2007,2007,4,21,111
4/22/1943,1943,4,22,112
4/22/1962,1962,4,22,112
4/23/1913,1913,4,23,113
4/22/1932,1932,4,22,113
4/23/1977,1977,4,23,113
4/23/1982,1982,4,23,113
4/22/1992,1992,4,22,113
4/24/1934,1934,4,24,114
4/24/2001,2001,4,24,114
4/24/2019,2019,4,24,114
4/24/1912,1912,4,24,115
4/25/1922,1922,4,25,115
4/24/1956,1956,4,24,115
4/24/1980,1980,4,24,115
4/25/1995,1995,4,25,115
4/26/1939,1939,4,26,116
4/25/1984,1984,4,25,116
4/27/1927,1927,4,27,117
4/26/1952,1952,4,26,117
4/26/1964,1964,4,26,117
4/27/1983,1983,4,27,117
4/27/2003,2003,4,27,117
4/26/2008,2008,4,26,117
4/28/1978,1978,4,28,118
4/28/1916,1916,4,28,119
4/29/1923,1923,4,29,119
4/28/1928,1928,4,28,119
4/29/1933,1933,4,29,119
4/28/1940,1940,4,28,119
4/29/1947,1947,4,29,119
4/29/1965,1965,4,29,119
4/29/1975,1975,4,29,119
4/29/1989,1989,4,29,119
4/29/1997,1997,4,29,119
4/30/1974,1974,4,30,120
5/1/1926,1926,5,1,121
5/1/1951,1951,5,1,121
5/2/1914,1914,5,2,122
5/1/1944,1944,5,1,122
5/2/1950,1950,5,2,122
5/2/1920,1920,5,2,123
5/3/1924,1924,5,3,124
5/5/1979,1979,5,5,125
5/5/1936,1936,5,5,126
5/8/1937,1937,5,8,128
5/9/1917,1917,5,9,129
5/9/2014,2014,5,9,129
5/10/2018,2018,5,10,130
5/12/1972,1972,5,12,133
5/13/2013,2013,5,13,133
5/13/1996,1996,5,13,134
